iter	Passed	Remaining
0	143	143387
1	145	72388
2	146	48573
3	147	36649
4	148	29511
5	149	24807
6	150	21382
7	151	18810
8	152	16806
9	153	15203
10	154	13933
11	157	12930
12	158	12010
13	159	11242
14	160	10546
15	161	9936
16	162	9395
17	163	8914
18	164	8482
19	165	8094
20	166	7744
21	167	7427
22	167	7135
23	169	6880
24	170	6667
25	172	6450
26	173	6241
27	174	6044
28	175	5860
29	175	5688
30	176	5527
31	177	5377
32	178	5235
33	179	5101
34	180	4975
35	181	4858
36	182	4746
37	183	4640
38	185	4561
39	186	4472
40	187	4387
41	188	4301
42	189	4218
43	190	4138
44	191	4061
45	192	3988
46	193	3918
47	194	3850
48	195	3794
49	196	3733
50	197	3673
51	198	3625
52	200	3582
53	201	3531
54	202	3482
55	203	3433
56	204	3385
57	205	3337
58	206	3292
59	207	3247
60	208	3205
61	209	3164
62	210	3124
63	210	3085
64	211	3047
65	213	3019
66	214	2992
67	216	2962
68	217	2929
69	218	2898
70	219	2866
71	220	2835
72	220	2805
73	221	2777
74	223	2750
75	223	2722
76	224	2695
77	225	2668
78	227	2647
79	229	2634
80	230	2615
81	231	2594
82	232	2566
83	233	2544
84	234	2522
85	235	2500
86	236	2479
87	237	2457
88	238	2436
89	238	2415
90	239	2395
91	240	2375
92	242	2362
93	244	2353
94	245	2335
95	246	2317
96	247	2299
97	247	2281
98	248	2265
99	249	2248
100	250	2231
101	251	2215
102	252	2199
103	253	2183
104	254	2168
105	255	2158
106	257	2148
107	258	2136
108	259	2122
109	260	2108
110	261	2094
111	262	2080
112	263	2067
113	264	2054
114	265	2040
115	266	2027
116	266	2013
117	267	2000
118	268	1988
119	269	1976
120	271	1969
121	272	1959
122	273	1950
123	274	1940
124	275	1928
125	276	1918
126	277	1906
127	278	1895
128	279	1884
129	280	1874
130	280	1863
131	281	1853
132	282	1842
133	283	1832
134	285	1826
135	287	1826
136	288	1818
137	290	1813
138	291	1806
139	292	1797
140	293	1788
141	294	1777
142	295	1768
143	295	1759
144	296	1750
145	297	1741
146	298	1733
147	300	1728
148	302	1725
149	303	1718
150	304	1712
151	305	1705
152	306	1699
153	308	1693
154	309	1686
155	310	1681
156	312	1675
157	315	1678
158	316	1673
159	317	1668
160	318	1659
161	319	1651
162	320	1644
163	321	1637
164	322	1629
165	323	1622
166	323	1615
167	324	1608
168	325	1601
169	326	1594
170	327	1589
171	329	1584
172	330	1579
173	331	1574
174	332	1569
175	333	1563
176	335	1559
177	336	1555
178	337	1549
179	338	1543
180	340	1538
181	341	1532
182	342	1529
183	344	1526
184	345	1522
185	346	1517
186	347	1512
187	349	1507
188	350	1503
189	351	1499
190	353	1495
191	354	1490
192	355	1485
193	357	1483
194	358	1481
195	360	1478
196	361	1474
197	362	1469
198	364	1465
199	365	1460
200	366	1455
201	367	1450
202	368	1445
203	369	1440
204	370	1438
205	372	1436
206	373	1432
207	375	1429
208	376	1425
209	377	1420
210	378	1416
211	379	1411
212	380	1406
213	381	1401
214	382	1397
215	384	1394
216	386	1394
217	388	1391
218	389	1387
219	390	1383
220	391	1380
221	392	1375
222	393	1371
223	394	1366
224	395	1362
225	396	1358
226	397	1354
227	400	1354
228	403	1358
229	404	1355
230	406	1352
231	407	1349
232	409	1346
233	410	1343
234	412	1343
235	414	1341
236	416	1339
237	417	1337
238	419	1335
239	420	1332
240	422	1330
241	424	1328
242	425	1326
243	428	1326
244	429	1324
245	431	1322
246	432	1319
247	433	1315
248	434	1311
249	435	1307
250	436	1303
251	437	1299
252	438	1295
253	439	1292
254	440	1288
255	442	1286
256	444	1284
257	446	1282
258	447	1280
259	448	1277
260	450	1275
261	451	1273
262	453	1270
263	454	1267
264	456	1267
265	458	1265
266	460	1263
267	461	1260
268	462	1257
269	463	1254
270	465	1251
271	466	1248
272	467	1245
273	469	1243
274	470	1241
275	471	1238
276	473	1235
277	474	1232
278	475	1228
279	476	1225
280	478	1223
281	479	1219
282	479	1216
283	480	1212
284	481	1208
285	482	1205
286	484	1203
287	485	1201
288	487	1198
289	488	1195
290	489	1192
291	490	1189
292	491	1185
293	492	1182
294	493	1178
295	494	1175
296	494	1171
297	495	1168
298	496	1164
299	497	1161
300	499	1159
301	500	1156
302	501	1154
303	502	1150
304	503	1147
305	504	1145
306	505	1141
307	506	1138
308	507	1135
309	508	1131
310	509	1128
311	510	1125
312	511	1121
313	512	1118
314	513	1117
315	514	1114
316	515	1111
317	516	1108
318	517	1105
319	518	1102
320	519	1099
321	520	1096
322	521	1092
323	522	1089
324	523	1086
325	524	1083
326	525	1080
327	525	1077
328	527	1075
329	528	1072
330	529	1070
331	530	1068
332	531	1065
333	532	1062
334	533	1059
335	534	1056
336	535	1053
337	536	1050
338	537	1047
339	538	1044
340	538	1041
341	539	1038
342	540	1035
343	541	1033
344	543	1031
345	544	1029
346	545	1026
347	546	1024
348	547	1021
349	549	1019
350	549	1016
351	550	1014
352	551	1011
353	552	1008
354	553	1005
355	554	1002
356	555	1000
357	556	998
358	557	995
359	558	993
360	560	991
361	561	989
362	562	986
363	562	983
364	563	980
365	564	978
366	565	975
367	566	973
368	567	970
369	568	967
370	569	965
371	570	962
372	571	960
373	573	959
374	574	956
375	575	954
376	575	951
377	576	949
378	577	946
379	578	943
380	579	941
381	580	938
382	581	936
383	582	933
384	582	931
385	583	928
386	584	926
387	586	924
388	587	922
389	588	920
390	589	917
391	590	915
392	591	913
393	592	911
394	593	909
395	594	907
396	595	904
397	596	902
398	597	899
399	598	897
400	599	894
401	600	893
402	601	891
403	602	889
404	603	887
405	604	885
406	605	882
407	606	880
408	607	877
409	608	875
410	609	873
411	610	870
412	611	868
413	611	866
414	612	863
415	613	861
416	614	859
417	616	858
418	617	856
419	618	853
420	619	851
421	620	849
422	620	846
423	621	844
424	622	842
425	623	840
426	624	837
427	625	835
428	626	833
429	627	831
430	627	828
431	629	827
432	630	825
433	631	823
434	632	821
435	633	819
436	634	817
437	635	815
438	636	813
439	637	811
440	638	809
441	639	806
442	640	804
443	640	802
444	641	800
445	642	798
446	644	797
447	658	811
448	659	809
449	660	807
450	662	806
451	663	804
452	664	802
453	665	800
454	666	798
455	667	796
456	668	794
457	669	792
458	670	790
459	671	788
460	672	786
461	673	784
462	674	782
463	676	781
464	677	779
465	678	777
466	679	775
467	680	773
468	681	771
469	682	769
470	683	767
471	684	765
472	685	764
473	687	762
474	688	761
475	690	760
476	691	758
477	693	757
478	694	755
479	695	753
480	697	752
481	698	750
482	699	748
483	700	746
484	701	744
485	702	742
486	703	740
487	705	739
488	706	738
489	707	736
490	708	734
491	709	732
492	710	730
493	711	728
494	712	726
495	713	725
496	714	723
497	715	721
498	716	719
499	717	717
500	719	716
501	720	715
502	722	713
503	723	711
504	724	710
505	725	708
506	727	707
507	728	705
508	729	703
509	730	701
510	731	699
511	732	697
512	733	696
513	735	695
514	736	693
515	738	692
516	739	690
517	740	688
518	741	687
519	742	685
520	743	683
521	744	682
522	745	680
523	746	678
524	748	677
525	749	675
526	751	674
527	752	672
528	753	670
529	754	669
530	756	668
531	758	666
532	759	665
533	760	663
534	761	661
535	762	660
536	763	658
537	764	656
538	765	654
539	766	653
540	767	651
541	768	649
542	770	648
543	771	646
544	772	645
545	774	643
546	775	642
547	776	640
548	777	638
549	778	637
550	779	635
551	780	633
